i,x,z,recall_naive,recall_naive_sc,recall_rerank
519,427.324,338.33,1,1,1
520,428.127,338.97,1,1,1
521,428.93,339.609,1,1,1
522,429.743,340.256,1,1,1
523,430.562,340.909,1,1,1
524,431.381,341.562,1,1,1
525,432.199,342.213,1,1,1
526,433.017,342.864,1,1,1
527,433.839,343.518,1,1,1
528,434.654,344.166,1,1,1
529,435.458,344.805,1,1,1
530,436.265,345.446,1,1,1
531,437.071,346.086,1,1,1
532,437.878,346.727,1,1,1
533,438.686,347.368,1,1,1
534,439.495,348.009,1,1,1
535,440.304,348.65,1,1,1
536,441.124,349.301,1,1,1
537,441.95,349.955,1,1,1
538,442.777,350.611,1,1,1
539,443.602,351.263,1,1,1
540,444.428,351.917,1,1,1
541,445.256,352.573,1,1,1
542,446.072,353.218,1,1,1
543,446.884,353.861,1,1,1
544,447.696,354.504,1,1,1
545,448.507,355.147,1,1,1
546,449.319,355.791,1,1,1
547,450.13,356.436,1,1,1
548,450.943,357.081,1,1,1
549,451.756,357.727,1,1,1
550,452.582,358.382,1,1,1
551,453.415,359.044,1,1,1
552,454.247,359.704,1,1,1
553,455.08,360.366,1,1,1
554,455.913,361.028,1,1,1
555,456.745,361.691,1,1,1
556,457.569,362.348,1,1,1
557,458.384,362.999,1,1,1
558,459.195,363.647,1,1,1
559,460.009,364.298,1,1,1
560,460.825,364.951,1,1,1
561,461.639,365.602,1,1,1
562,462.451,366.251,1,1,1
563,463.271,366.906,1,1,1
564,464.102,367.567,1,1,1
565,464.937,368.231,1,1,1
566,465.775,368.897,1,1,1
567,466.614,369.562,1,1,1
568,467.455,370.228,1,1,1
569,468.297,370.893,1,1,1
570,469.132,371.552,1,1,1
571,469.958,372.202,1,1,1
572,470.786,372.853,1,1,1
573,471.617,373.505,1,1,1
574,472.451,374.159,1,1,1
575,473.282,374.811,1,1,1
576,474.112,375.463,1,1,1
577,474.942,376.115,1,1,1
578,475.786,376.779,1,1,1
579,476.634,377.448,1,1,1
580,477.483,378.116,1,1,1
581,478.333,378.786,1,1,1
582,479.184,379.458,1,1,1
583,480.035,380.13,1,1,1
584,480.875,380.795,1,1,1
585,481.708,381.454,1,1,1
586,482.538,382.112,1,1,1
587,483.372,382.774,1,1,1
588,484.203,383.434,1,1,1
589,485.037,384.096,1,1,1
590,485.87,384.758,1,1,1
591,486.705,385.423,1,1,1
592,487.551,386.096,1,1,1
593,488.404,386.775,1,1,1
594,489.256,387.453,1,1,1
595,490.109,388.131,1,1,1
596,490.964,388.811,1,1,1
597,491.822,389.491,1,1,1
598,492.673,390.166,1,1,1
599,493.51,390.831,1,1,1
600,494.349,391.496,1,1,1
601,495.188,392.16,1,1,1
602,496.029,392.826,1,1,1
603,496.869,393.49,1,1,1
604,497.711,394.155,1,1,1
605,498.551,394.819,1,1,1
606,499.409,395.497,1,1,1
607,500.273,396.18,1,1,1
608,501.134,396.859,1,1,1
609,501.995,397.538,1,1,1
610,502.857,398.216,1,1,1
611,503.721,398.896,1,1,1
612,504.577,399.568,1,1,1
613,505.425,400.233,1,1,1
614,506.271,400.897,1,1,1
615,507.115,401.56,1,1,1
616,507.953,402.218,1,1,1
617,508.791,402.877,1,1,1
618,509.627,403.534,1,1,1
619,510.462,404.192,1,1,1
620,511.313,404.863,1,1,1
621,512.165,405.535,1,1,1
622,513.015,406.206,1,1,1
