source,leaf_max_size,k,threads,n_points,build_s,query_us
random_10000,25,20,1,10000,0.0007256,1.95725
random_10000,10,1,1,10000,0.0008905,0.30125
random_10000,10,5,1,10000,0.0009005,0.69145
random_10000,10,20,1,10000,0.0008921,1.8771
random_10000,25,1,1,10000,0.0007336,0.29405
random_10000,25,5,1,10000,0.0007376,0.6653
random_10000,25,20,1,10000,0.0008966,2.04575
random_10000,10,1,1,10000,0.0008543,0.3261
random_10000,10,5,1,10000,0.0008493,0.68635
random_10000,10,20,1,10000,0.0008638,1.83445
random_10000,25,1,1,10000,0.0007075,0.2945
random_10000,25,5,1,10000,0.0007022,0.65985
random_10000,25,20,1,10000,0.0007029,1.7053
random_10000,10,1,1,10000,0.0008696,0.4301
random_10000,10,5,1,10000,0.0010996,0.753
random_10000,10,20,1,10000,0.000848,1.8757
random_10000,25,1,1,10000,0.0007065,0.2908
random_10000,25,5,1,10000,0.0007032,0.66315
random_10000,25,20,1,10000,0.0007058,1.67325
random_10000,10,1,1,10000,0.000851,0.2936
random_10000,10,5,1,10000,0.000851,0.689
random_10000,10,20,1,10000,0.0008515,1.8328
random_10000,25,1,1,10000,0.0007004,0.2906
random_10000,25,5,1,10000,0.0007181,0.66265
random_10000,25,20,1,10000,0.0007039,1.65825
random_10000,10,1,1,10000,0.0008594,0.3022
random_10000,10,5,1,10000,0.0008519,0.6989
random_10000,10,20,1,10000,0.0008558,1.8778
random_10000,25,1,1,10000,0.0007029,0.2978
random_10000,25,5,1,10000,0.0006993,0.8194
random_10000,25,20,1,10000,0.0009217,1.82025
random_10000,10,1,1,10000,0.0008582,0.29055
random_10000,10,5,1,10000,0.00085,0.6705
random_10000,10,20,1,10000,0.0008475,1.83725
random_10000,25,1,1,10000,0.0007053,0.38515
random_10000,25,5,1,10000,0.0007231,0.65145
random_10000,25,20,1,10000,0.0007043,2.1509
random_10000,10,1,1,10000,0.0011291,0.3965
random_10000,10,5,1,10000,0.0008505,0.6995
random_10000,10,20,1,10000,0.0008574,1.84165
random_10000,25,1,1,10000,0.0007057,0.2918
random_10000,25,5,1,10000,0.0007026,0.6558
random_10000,25,20,1,10000,0.0008327,1.86455
random_10000,10,1,1,10000,0.0008572,0.38525
random_10000,10,5,1,10000,0.0010507,0.82105
random_10000,10,20,1,10000,0.0008604,1.8473
random_10000,25,1,1,10000,0.0007103,0.29645
random_10000,25,5,1,10000,0.0007025,0.82895
random_10000,25,20,1,10000,0.0008479,1.69925
random_10000,10,1,1,10000,0.0010911,0.4189
random_10000,10,5,1,10000,0.0009548,0.6891
random_10000,10,20,1,10000,0.0009075,2.42345
random_10000,25,1,1,10000,0.000922,0.4696
random_10000,25,5,1,10000,0.0009329,1.00195
random_10000,25,20,1,10000,0.0009032,2.371
random_10000,10,1,1,10000,0.0010456,0.41645
random_10000,10,5,1,10000,0.0010159,0.9273
random_10000,10,20,1,10000,0.0009768,1.8851
random_10000,25,1,1,10000,0.0007026,0.2963
random_10000,25,5,1,10000,0.0007438,0.71135
random_10000,25,20,1,10000,0.0007865,2.1553
random_10000,10,1,1,10000,0.0008709,0.30425
random_10000,10,5,1,10000,0.0008536,0.6858
random_10000,10,20,1,10000,0.0008604,1.8385
random_10000,25,1,1,10000,0.000699,0.2971
random_10000,25,5,1,10000,0.0007028,0.66315
random_10000,25,20,1,10000,0.0008232,1.89905
random_10000,10,1,1,10000,0.0008501,0.2949
random_10000,10,5,1,10000,0.0008515,0.68905
random_10000,10,20,1,10000,0.0009488,1.83075
random_10000,25,1,1,10000,0.0007049,0.291
random_10000,25,5,1,10000,0.0007064,0.70635
random_10000,25,20,1,10000,0.0008614,1.81795
random_10000,10,1,1,10000,0.0008536,0.29285
random_10000,10,5,1,10000,0.0008551,0.6864
random_10000,10,20,1,10000,0.0008525,1.82205
random_10000,25,1,1,10000,0.0007047,0.2887
random_10000,25,5,1,10000,0.0007055,0.6619
random_10000,25,20,1,10000,0.000704,1.66145
random_50000,10,1,1,50000,0.0051601,0.3908
random_50000,10,5,1,50000,0.0051662,0.8615
random_50000,10,20,1,50000,0.0058569,2.2687
random_50000,25,1,1,50000,0.0044506,0.42
random_50000,25,5,1,50000,0.0044537,0.878
random_50000,25,20,1,50000,0.00445,2.17555
random_50000,10,1,1,50000,0.0052105,0.39645
random_50000,10,5,1,50000,0.0051701,0.85135
random_50000,10,20,1,50000,0.00517,2.27055
random_50000,25,1,1,50000,0.0046082,0.4454
random_50000,25,5,1,50000,0.004614,1.2639
random_50000,25,20,1,50000,0.0045294,2.25385
random_50000,10,1,1,50000,0.0054695,0.4133
random_50000,10,5,1,50000,0.0059971,0.86565
random_50000,10,20,1,50000,0.0054761,2.48835
random_50000,25,1,1,50000,0.005358,0.4229
random_50000,25,5,1,50000,0.004685,0.87445
random_50000,25,20,1,50000,0.0051914,2.20935
random_50000,10,1,1,50000,0.0051748,0.3914
random_50000,10,5,1,50000,0.0051785,0.83625
random_50000,10,20,1,50000,0.0056367,2.2835
random_50000,25,1,1,50000,0.004457,0.41735
