method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
rebuild,149,946.9701,0.4112,7341039,7341039,1421788,1421788
rebuild,150,956.1325,0.4092,7354851,7354851,1421788,1421788
rebuild,151,950.3895,0.3847,7365750,7365750,1421788,1421788
rebuild,152,952.3036,0.3921,7374827,7374827,1421788,1421788
rebuild,153,955.7265,0.4344,7383521,7383521,1421788,1421788
rebuild,154,956.5952,0.3959,7391719,7391719,1421788,1421788
rebuild,155,957.7676,0.3978,7397842,7397842,1421788,1421788
rebuild,156,959.0820,0.3960,7401117,7401117,1421788,1421788
rebuild,157,959.6600,0.4044,7402035,7402035,1421788,1421788
rebuild,158,959.1613,0.4448,7399541,7399541,1421788,1421788
rebuild,159,968.8427,0.4142,7392689,7392689,1421788,1421788
rebuild,160,968.9705,0.3926,7383314,7383314,1421788,1421788
rebuild,161,961.7036,0.4044,7375912,7375912,1421788,1421788
rebuild,162,961.7182,0.4635,7365982,7365982,1421788,1421788
rebuild,163,964.9845,0.4137,7355134,7355134,1421788,1421788
rebuild,164,971.2342,0.4329,7344880,7344880,1421788,1421788
rebuild,165,953.9626,0.4119,7339242,7339242,1421788,1421788
rebuild,166,969.5492,0.4355,7337321,7337321,1421788,1421788
rebuild,167,950.6820,0.4028,7334475,7334475,1421788,1421788
rebuild,168,966.1863,0.3948,7327667,7327667,1421788,1421788
rebuild,169,986.4290,0.4697,7321858,7321858,1421788,1421788
rebuild,170,961.9996,0.3948,7317850,7317850,1421788,1421788
rebuild,171,952.7524,0.3827,7311457,7311457,1421788,1421788
rebuild,172,954.9441,0.3866,7303000,7303000,1421788,1421788
rebuild,173,963.2056,0.4062,7291170,7291170,1421788,1421788
rebuild,174,964.3550,0.3957,7278076,7278076,1421788,1421788
rebuild,175,953.1877,0.3850,7261984,7261984,1421788,1421788
rebuild,176,972.6189,0.3993,7243934,7243934,1421788,1421788
rebuild,177,949.6384,0.4047,7222468,7222468,1421788,1421788
rebuild,178,947.0846,0.3913,7200344,7200344,1421788,1421788
rebuild,179,947.6010,0.4869,7181923,7181923,1421788,1421788
rebuild,180,947.6088,0.3780,7164611,7164611,1421788,1421788
rebuild,181,945.5693,0.4068,7152187,7152187,1421788,1421788
rebuild,182,927.3087,0.4579,7143359,7143359,1421788,1421788
rebuild,183,923.9081,0.3887,7137486,7137486,1421788,1421788
rebuild,184,922.3286,0.3844,7133724,7133724,1421788,1421788
rebuild,185,918.6771,0.3586,7132069,7132069,1421788,1421788
rebuild,186,919.6242,0.3920,7136611,7136611,1421788,1421788
rebuild,187,917.1149,0.3862,7141594,7141594,1421788,1421788
rebuild,188,932.2198,0.4046,7149848,7149848,1421788,1421788
rebuild,189,938.2482,0.4495,7158101,7158101,1421788,1421788
rebuild,190,927.9176,0.4122,7172688,7172688,1421788,1421788
rebuild,191,930.8730,0.4031,7189598,7189598,1421788,1421788
